,Losses,Accuracies
0,4.644643135070801,0.01
1,4.598170909881592,0.01
2,4.600804748535157,0.01
3,4.605582389831543,0.02
4,4.591745109558105,0.01
5,4.6201091003417964,0.02
6,4.607881565093994,0.03
7,4.595639953613281,0.02
8,4.60458927154541,0.0
9,4.587490081787109,0.02
10,4.576741027832031,0.02
11,4.582768096923828,0.01
12,4.583266506195068,0.02
13,4.5882903099060055,0.03
14,4.581320400238037,0.02
15,4.574580459594727,0.02
16,4.583885612487793,0.02
17,4.565157165527344,0.01
18,4.560950393676758,0.02
19,4.558318481445313,0.02
20,4.558151931762695,0.01
21,4.550775871276856,0.03
22,4.540674533843994,0.04
23,4.548033142089844,0.0
24,4.549883823394776,0.04
25,4.546750316619873,0.01
26,4.542609672546387,0.01
27,4.5577958297729495,0.02
28,4.523463001251221,0.03
29,4.515709266662598,0.01
30,4.529342041015625,0.02
31,4.535380992889404,0.01
32,4.50956953048706,0.04
33,4.47219223022461,0.02
34,4.505799293518066,0.02
35,4.4864324188232425,0.05
36,4.473601913452148,0.05
37,4.4513858032226565,0.02
38,4.463352432250977,0.03
39,4.445697402954101,0.06
40,4.425316848754883,0.03
41,4.444623031616211,0.02
42,4.425492668151856,0.04
43,4.461091175079345,0.03
44,4.454961376190186,0.02
45,4.399807624816894,0.03
46,4.389950466156006,0.04
47,4.412931251525879,0.0
48,4.35260051727295,0.04
49,4.36262773513794,0.01
50,4.372381858825683,0.04
51,4.3587009239196775,0.01
52,4.351922721862793,0.01
53,4.34311357498169,0.02
54,4.338273220062256,0.02
55,4.325136909484863,0.05
56,4.329780464172363,0.02
57,4.295176086425781,0.07
58,4.290584621429443,0.04
59,4.258071804046631,0.07
60,4.234412631988525,0.02
61,4.260757064819336,0.04
62,4.222654132843018,0.04
63,4.197295341491699,0.04
64,4.192119102478028,0.03
65,4.145216026306152,0.07
66,4.222484893798828,0.05
67,4.176387100219727,0.06
68,4.158870983123779,0.04
69,4.185336055755616,0.06
70,4.154211502075196,0.02
71,4.140738563537598,0.07
72,4.163954658508301,0.02
73,4.092523498535156,0.04
74,4.124312629699707,0.05
75,4.056051368713379,0.06
76,4.092843475341797,0.02
77,4.103956317901611,0.03
78,4.0156118774414065,0.05
79,4.03038330078125,0.01
80,3.9721035957336426,0.07
81,4.030319023132324,0.04
82,4.025423469543457,0.05
83,4.0195409774780275,0.05
84,4.010240135192871,0.03
85,4.035260696411132,0.03
86,3.936907968521118,0.06
87,3.9991339111328124,0.04
88,4.0096799182891845,0.04
89,3.9723397636413575,0.05
90,3.8899910736083982,0.03
91,3.9665160751342774,0.03
92,3.935118465423584,0.07
93,3.8587871170043946,0.06
94,3.8651942825317382,0.08
95,3.8978386974334716,0.04
96,3.8725855636596678,0.08
97,3.901599941253662,0.05
98,3.8518730545043947,0.02
99,3.8782269668579104,0.06
