Epochs,Losses,Accuracies
0,4.579119995662144,0.009523809523809525
1,4.475988201867967,0.02857142857142857
2,4.373352350507464,0.047619047619047616
3,4.209028988792783,0.047619047619047616
4,4.189742065611339,0.047619047619047616
5,4.153511814844041,0.02857142857142857
6,4.106968175797236,0.047619047619047616
7,3.9946794396355036,0.0761904761904762
8,3.982868192309425,0.047619047619047616
9,4.03056579771496,0.02857142857142857
10,3.9466782978602817,0.047619047619047616
11,3.9393166769118535,0.0761904761904762
12,3.9975600242614746,0.0380952380952381
13,3.929553018297468,0.0380952380952381
14,3.9037933031717937,0.06666666666666667
15,3.843321075893584,0.047619047619047616
16,3.8716931729089645,0.02857142857142857
17,3.8726395243690126,0.0380952380952381
18,3.858260969888596,0.0380952380952381
19,3.841702817735218,0.047619047619047616
20,3.849029538744972,0.047619047619047616
21,3.862325568426223,0.0380952380952381
22,3.842757801782517,0.0380952380952381
23,3.832629439944313,0.05714285714285714
24,3.7673460324605306,0.08571428571428572
25,3.7960773263658796,0.0761904761904762
26,3.8362190314701627,0.05714285714285714
27,3.8485204060872396,0.0380952380952381
28,3.8219666798909504,0.047619047619047616
29,3.7901399203709194,0.047619047619047616
30,3.7828212828863235,0.047619047619047616
31,3.7838048934936523,0.047619047619047616
32,3.817850603376116,0.0380952380952381
33,3.782764689127604,0.06666666666666667
34,3.725878685996646,0.047619047619047616
35,3.7548302877516972,0.06666666666666667
36,3.760039252326602,0.0380952380952381
37,3.772658970242455,0.047619047619047616
38,3.749085047131493,0.06666666666666667
39,3.7579391842796688,0.0761904761904762
40,3.7351774601709273,0.0761904761904762
41,3.7426411537897017,0.06666666666666667
42,3.7497610909598214,0.047619047619047616
43,3.7712751433962866,0.047619047619047616
44,3.7758218311128164,0.05714285714285714
45,3.7113357089814687,0.05714285714285714
46,3.8488836038680305,0.047619047619047616
47,3.74508034161159,0.0380952380952381
48,3.6711744853428434,0.09523809523809523
49,3.7275969755081904,0.08571428571428572
